site,shell_length
GA,28.62
GA,30.87
GA,25.94
GA,34.74
GA,30.8
GA,23.31
GA,26.73
GA,21.09
GA,30.18
GA,23.62
GA,22.35
GA,27.34
GA,32.3
GA,24.25
GA,22.95
GA,22.79
GA,24.71
GA,29.4
GA,21.96
GA,32.84
GA,26.1
GA,31.64
GA,23.76
GA,32.39
GA,23.41
GA,24.04
GA,21.91
GA,20.42
GA,25.29
GA,25.11
NH,29.91
NH,30.3
NH,29.9
NH,28.72
NH,26.01
NH,26.87
NH,28.2
NH,27.23
NH,24.27
NH,31.47
NH,24.15
NH,24.52
NH,28.41
NH,26.58
NH,23.47
NH,28.75
NH,29.75
NH,29.98
NH,30.82
NH,31.57
NH,27.97
NH,30.29
NH,29.75
NH,24.99
NH,26.12
NH,25.51
NH,29.06
NH,27.55
NH,20.62
NH,23.77
NC,30.49
NC,27.24
NC,28.53
NC,29.61
NC,24.03
NC,25.85
NC,27.85
NC,30.53
NC,30.57
NC,26.36
NC,28.22
NC,24.58
NC,25.73
NC,28.48
NC,29.96
NC,26.65
NC,23.09
NC,29.36
NC,24.05
NC,20.84
